Task 5 running algorithm: linearSwitchFromRandom
cn8.hpc.itu.dk
nsio
/home/nsio/bachelorProject/hpc-jobs
Running iterations for algorithm: linearSwitchFromRandom
  Completed 100 iterations for size 8, cohesion 0.
  Completed 100 iterations for size 8, cohesion 20.
  Completed 100 iterations for size 8, cohesion 50.
  Completed 100 iterations for size 8, cohesion 80.
  Completed 100 iterations for size 8, cohesion 100.
  Completed 100 iterations for size 30, cohesion 0.
  Completed 100 iterations for size 30, cohesion 20.
  Completed 100 iterations for size 30, cohesion 50.
  Completed 100 iterations for size 30, cohesion 80.
  Completed 100 iterations for size 30, cohesion 100.
  Completed 100 iterations for size 100, cohesion 0.
  Completed 100 iterations for size 100, cohesion 20.
  Completed 100 iterations for size 100, cohesion 50.
  Completed 100 iterations for size 100, cohesion 80.
